# x_m, y_m, w_tr_right_m, w_tr_left_m
# levine centerline (one frame for every levine map), 499 points, 61.78 m, counter-clockwise; finish line = first point. Source: lev_blocked_source.csv; widths measured from the map by autograder/labs/lab3/make_centerline.py
9.7902, 7.4835, 0.7750, 0.8500
9.7635, 7.5923, 0.8000, 0.8250
9.7320, 7.6968, 0.8500, 0.8000
9.6955, 7.7964, 0.9000, 0.8000
9.6534, 7.8909, 0.9750, 0.7750
9.6054, 7.9797, 1.0750, 0.7500
9.5508, 8.0625, 1.2250, 0.7250
9.4894, 8.1389, 1.4000, 0.7000
9.4210, 8.2087, 1.6250, 0.6750
9.3460, 8.2722, 1.4750, 0.7000
9.2647, 8.3299, 1.3250, 0.6750
9.1777, 8.3820, 1.2000, 0.7000
9.0853, 8.4288, 1.1000, 0.7250
8.9880, 8.4707, 1.0500, 0.7500
8.8861, 8.5081, 0.9750, 0.7750
8.7801, 8.5413, 0.9250, 0.8000
8.6704, 8.5706, 0.9000, 0.8250
8.5574, 8.5963, 0.8500, 0.8500
8.4416, 8.6189, 0.8250, 0.8750
8.3234, 8.6385, 0.8000, 0.8750
8.2032, 8.6557, 0.8000, 0.9000
8.0813, 8.6707, 0.7750, 0.9250
7.9583, 8.6839, 0.7500, 0.9250
7.8345, 8.6955, 0.7500, 0.9250
7.7103, 8.7059, 0.7250, 0.9500
7.5855, 8.7150, 0.7250, 0.9500
7.4604, 8.7230, 0.7250, 0.9500
7.3348, 8.7298, 0.7000, 0.9750
7.2088, 8.7355, 0.7000, 0.9750
7.0825, 8.7402, 0.7000, 0.9750
6.9558, 8.7439, 0.7000, 0.9750
6.8288, 8.7466, 0.7000, 0.9750
6.7015, 8.7484, 0.7000, 0.9750
6.5739, 8.7493, 0.7000, 0.9750
6.4461, 8.7494, 0.7000, 0.9750
6.3180, 8.7488, 0.7000, 0.9750
6.1897, 8.7473, 0.7000, 0.9750
6.0612, 8.7452, 0.7000, 0.9750
5.9326, 8.7425, 0.7000, 0.9750
5.8038, 8.7391, 0.7000, 0.9750
5.6748, 8.7352, 0.7000, 0.9750
5.5458, 8.7307, 0.7000, 0.9750
5.4167, 8.7258, 0.7000, 0.9750
5.2875, 8.7204, 0.7250, 0.9500
5.1583, 8.7147, 0.7250, 0.9500
5.0291, 8.7086, 0.7250, 0.9500
4.8999, 8.7022, 0.7250, 0.9500
4.7707, 8.6956, 0.7500, 0.9250
4.6416, 8.6887, 0.7500, 0.9250
4.5125, 8.6817, 0.7500, 0.9250
4.3836, 8.6746, 0.7750, 0.9250
4.2547, 8.6674, 0.7750, 0.9000
4.1260, 8.6602, 0.7750, 0.9000
3.9975, 8.6529, 0.7750, 0.9000
3.8692, 8.6458, 0.8000, 0.8750
3.7410, 8.6387, 0.8000, 0.8750
3.6131, 8.6317, 0.8000, 0.8750
3.4853, 8.6248, 0.8250, 0.8750
3.3578, 8.6181, 0.8250, 0.8500
